,speaker_path,listener_path
1063,NoXI/065_2016-04-14_Nottingham/Expert_video/34,NoXI/065_2016-04-14_Nottingham/Novice_video/34
1064,NoXI/065_2016-04-14_Nottingham/Expert_video/35,NoXI/065_2016-04-14_Nottingham/Novice_video/35
1065,NoXI/065_2016-04-14_Nottingham/Expert_video/36,NoXI/065_2016-04-14_Nottingham/Novice_video/36
1066,NoXI/065_2016-04-14_Nottingham/Expert_video/37,NoXI/065_2016-04-14_Nottingham/Novice_video/37
1067,NoXI/065_2016-04-14_Nottingham/Expert_video/38,NoXI/065_2016-04-14_Nottingham/Novice_video/38
1068,NoXI/065_2016-04-14_Nottingham/Expert_video/39,NoXI/065_2016-04-14_Nottingham/Novice_video/39
1069,NoXI/065_2016-04-14_Nottingham/Expert_video/40,NoXI/065_2016-04-14_Nottingham/Novice_video/40
1070,NoXI/065_2016-04-14_Nottingham/Expert_video/41,NoXI/065_2016-04-14_Nottingham/Novice_video/41
1071,NoXI/065_2016-04-14_Nottingham/Expert_video/42,NoXI/065_2016-04-14_Nottingham/Novice_video/42
1072,NoXI/065_2016-04-14_Nottingham/Expert_video/43,NoXI/065_2016-04-14_Nottingham/Novice_video/43
1073,NoXI/065_2016-04-14_Nottingham/Expert_video/44,NoXI/065_2016-04-14_Nottingham/Novice_video/44
1074,NoXI/064_2016-04-14_Nottingham/Expert_video/1,NoXI/064_2016-04-14_Nottingham/Novice_video/1
1075,NoXI/064_2016-04-14_Nottingham/Expert_video/2,NoXI/064_2016-04-14_Nottingham/Novice_video/2
1076,NoXI/064_2016-04-14_Nottingham/Expert_video/3,NoXI/064_2016-04-14_Nottingham/Novice_video/3
1077,NoXI/064_2016-04-14_Nottingham/Expert_video/4,NoXI/064_2016-04-14_Nottingham/Novice_video/4
1078,NoXI/064_2016-04-14_Nottingham/Expert_video/5,NoXI/064_2016-04-14_Nottingham/Novice_video/5
1079,NoXI/064_2016-04-14_Nottingham/Expert_video/6,NoXI/064_2016-04-14_Nottingham/Novice_video/6
1080,NoXI/064_2016-04-14_Nottingham/Expert_video/7,NoXI/064_2016-04-14_Nottingham/Novice_video/7
1081,NoXI/064_2016-04-14_Nottingham/Expert_video/8,NoXI/064_2016-04-14_Nottingham/Novice_video/8
1082,NoXI/064_2016-04-14_Nottingham/Expert_video/9,NoXI/064_2016-04-14_Nottingham/Novice_video/9
1083,NoXI/064_2016-04-14_Nottingham/Expert_video/10,NoXI/064_2016-04-14_Nottingham/Novice_video/10
1084,NoXI/064_2016-04-14_Nottingham/Expert_video/11,NoXI/064_2016-04-14_Nottingham/Novice_video/11
1085,NoXI/064_2016-04-14_Nottingham/Expert_video/12,NoXI/064_2016-04-14_Nottingham/Novice_video/12
1086,NoXI/064_2016-04-14_Nottingham/Expert_video/13,NoXI/064_2016-04-14_Nottingham/Novice_video/13
1087,NoXI/064_2016-04-14_Nottingham/Expert_video/14,NoXI/064_2016-04-14_Nottingham/Novice_video/14
1088,NoXI/064_2016-04-14_Nottingham/Expert_video/15,NoXI/064_2016-04-14_Nottingham/Novice_video/15
1089,NoXI/064_2016-04-14_Nottingham/Expert_video/16,NoXI/064_2016-04-14_Nottingham/Novice_video/16
1090,NoXI/064_2016-04-14_Nottingham/Expert_video/17,NoXI/064_2016-04-14_Nottingham/Novice_video/17
1091,NoXI/064_2016-04-14_Nottingham/Expert_video/18,NoXI/064_2016-04-14_Nottingham/Novice_video/18
1092,NoXI/064_2016-04-14_Nottingham/Expert_video/19,NoXI/064_2016-04-14_Nottingham/Novice_video/19
1093,NoXI/064_2016-04-14_Nottingham/Expert_video/20,NoXI/064_2016-04-14_Nottingham/Novice_video/20
1094,NoXI/064_2016-04-14_Nottingham/Expert_video/21,NoXI/064_2016-04-14_Nottingham/Novice_video/21
1095,NoXI/064_2016-04-14_Nottingham/Expert_video/22,NoXI/064_2016-04-14_Nottingham/Novice_video/22
1096,NoXI/054_2016-04-12_Nottingham/Expert_video/1,NoXI/054_2016-04-12_Nottingham/Novice_video/1
1097,NoXI/054_2016-04-12_Nottingham/Expert_video/2,NoXI/054_2016-04-12_Nottingham/Novice_video/2
1098,NoXI/054_2016-04-12_Nottingham/Expert_video/3,NoXI/054_2016-04-12_Nottingham/Novice_video/3
1099,NoXI/054_2016-04-12_Nottingham/Expert_video/4,NoXI/054_2016-04-12_Nottingham/Novice_video/4
1100,NoXI/054_2016-04-12_Nottingham/Expert_video/5,NoXI/054_2016-04-12_Nottingham/Novice_video/5
1101,NoXI/054_2016-04-12_Nottingham/Expert_video/6,NoXI/054_2016-04-12_Nottingham/Novice_video/6
1102,NoXI/054_2016-04-12_Nottingham/Expert_video/7,NoXI/054_2016-04-12_Nottingham/Novice_video/7
1103,NoXI/054_2016-04-12_Nottingham/Expert_video/8,NoXI/054_2016-04-12_Nottingham/Novice_video/8
1104,NoXI/054_2016-04-12_Nottingham/Expert_video/9,NoXI/054_2016-04-12_Nottingham/Novice_video/9
1105,NoXI/054_2016-04-12_Nottingham/Expert_video/10,NoXI/054_2016-04-12_Nottingham/Novice_video/10
1106,NoXI/054_2016-04-12_Nottingham/Expert_video/11,NoXI/054_2016-04-12_Nottingham/Novice_video/11
1107,NoXI/054_2016-04-12_Nottingham/Expert_video/12,NoXI/054_2016-04-12_Nottingham/Novice_video/12
1108,NoXI/054_2016-04-12_Nottingham/Expert_video/13,NoXI/054_2016-04-12_Nottingham/Novice_video/13
1109,NoXI/054_2016-04-12_Nottingham/Expert_video/14,NoXI/054_2016-04-12_Nottingham/Novice_video/14
1110,NoXI/054_2016-04-12_Nottingham/Expert_video/15,NoXI/054_2016-04-12_Nottingham/Novice_video/15
1111,NoXI/054_2016-04-12_Nottingham/Expert_video/16,NoXI/054_2016-04-12_Nottingham/Novice_video/16
1112,NoXI/054_2016-04-12_Nottingham/Expert_video/17,NoXI/054_2016-04-12_Nottingham/Novice_video/17
1113,NoXI/054_2016-04-12_Nottingham/Expert_video/18,NoXI/054_2016-04-12_Nottingham/Novice_video/18
1114,NoXI/054_2016-04-12_Nottingham/Expert_video/19,NoXI/054_2016-04-12_Nottingham/Novice_video/19
1115,NoXI/054_2016-04-12_Nottingham/Expert_video/20,NoXI/054_2016-04-12_Nottingham/Novice_video/20
1116,NoXI/054_2016-04-12_Nottingham/Expert_video/21,NoXI/054_2016-04-12_Nottingham/Novice_video/21
1117,NoXI/054_2016-04-12_Nottingham/Expert_video/22,NoXI/054_2016-04-12_Nottingham/Novice_video/22
1118,NoXI/054_2016-04-12_Nottingham/Expert_video/23,NoXI/054_2016-04-12_Nottingham/Novice_video/23
1119,NoXI/054_2016-04-12_Nottingham/Expert_video/24,NoXI/054_2016-04-12_Nottingham/Novice_video/24
1120,NoXI/054_2016-04-12_Nottingham/Expert_video/25,NoXI/054_2016-04-12_Nottingham/Novice_video/25
1121,NoXI/054_2016-04-12_Nottingham/Expert_video/26,NoXI/054_2016-04-12_Nottingham/Novice_video/26
1122,NoXI/054_2016-04-12_Nottingham/Expert_video/27,NoXI/054_2016-04-12_Nottingham/Novice_video/27
1123,NoXI/054_2016-04-12_Nottingham/Expert_video/28,NoXI/054_2016-04-12_Nottingham/Novice_video/28
1124,NoXI/054_2016-04-12_Nottingham/Expert_video/29,NoXI/054_2016-04-12_Nottingham/Novice_video/29
1125,NoXI/054_2016-04-12_Nottingham/Expert_video/30,NoXI/054_2016-04-12_Nottingham/Novice_video/30
1126,NoXI/054_2016-04-12_Nottingham/Expert_video/31,NoXI/054_2016-04-12_Nottingham/Novice_video/31
1127,NoXI/054_2016-04-12_Nottingham/Expert_video/32,NoXI/054_2016-04-12_Nottingham/Novice_video/32
1128,NoXI/054_2016-04-12_Nottingham/Expert_video/33,NoXI/054_2016-04-12_Nottingham/Novice_video/33
1129,NoXI/054_2016-04-12_Nottingham/Expert_video/34,NoXI/054_2016-04-12_Nottingham/Novice_video/34
1130,NoXI/054_2016-04-12_Nottingham/Expert_video/35,NoXI/054_2016-04-12_Nottingham/Novice_video/35
1131,NoXI/054_2016-04-12_Nottingham/Expert_video/36,NoXI/054_2016-04-12_Nottingham/Novice_video/36
1132,NoXI/054_2016-04-12_Nottingham/Expert_video/37,NoXI/054_2016-04-12_Nottingham/Novice_video/37
1133,NoXI/054_2016-04-12_Nottingham/Expert_video/38,NoXI/054_2016-04-12_Nottingham/Novice_video/38
1134,NoXI/054_2016-04-12_Nottingham/Expert_video/39,NoXI/054_2016-04-12_Nottingham/Novice_video/39
1135,NoXI/054_2016-04-12_Nottingham/Expert_video/40,NoXI/054_2016-04-12_Nottingham/Novice_video/40
1136,NoXI/054_2016-04-12_Nottingham/Expert_video/41,NoXI/054_2016-04-12_Nottingham/Novice_video/41
1137,NoXI/054_2016-04-12_Nottingham/Expert_video/42,NoXI/054_2016-04-12_Nottingham/Novice_video/42
1138,NoXI/054_2016-04-12_Nottingham/Expert_video/43,NoXI/054_2016-04-12_Nottingham/Novice_video/43
1139,NoXI/054_2016-04-12_Nottingham/Expert_video/44,NoXI/054_2016-04-12_Nottingham/Novice_video/44
1140,NoXI/054_2016-04-12_Nottingham/Expert_video/45,NoXI/054_2016-04-12_Nottingham/Novice_video/45
1141,NoXI/054_2016-04-12_Nottingham/Expert_video/46,NoXI/054_2016-04-12_Nottingham/Novice_video/46
1142,NoXI/054_2016-04-12_Nottingham/Expert_video/47,NoXI/054_2016-04-12_Nottingham/Novice_video/47
1143,NoXI/054_2016-04-12_Nottingham/Expert_video/48,NoXI/054_2016-04-12_Nottingham/Novice_video/48
1144,NoXI/054_2016-04-12_Nottingham/Expert_video/49,NoXI/054_2016-04-12_Nottingham/Novice_video/49
1145,NoXI/054_2016-04-12_Nottingham/Expert_video/50,NoXI/054_2016-04-12_Nottingham/Novice_video/50
1146,NoXI/054_2016-04-12_Nottingham/Expert_video/51,NoXI/054_2016-04-12_Nottingham/Novice_video/51
1147,NoXI/054_2016-04-12_Nottingham/Expert_video/52,NoXI/054_2016-04-12_Nottingham/Novice_video/52
1148,NoXI/054_2016-04-12_Nottingham/Expert_video/53,NoXI/054_2016-04-12_Nottingham/Novice_video/53
1149,NoXI/053_2016-04-12_Nottingham/Expert_video/1,NoXI/053_2016-04-12_Nottingham/Novice_video/1
1150,NoXI/053_2016-04-12_Nottingham/Expert_video/2,NoXI/053_2016-04-12_Nottingham/Novice_video/2
1151,NoXI/053_2016-04-12_Nottingham/Expert_video/3,NoXI/053_2016-04-12_Nottingham/Novice_video/3
1152,NoXI/053_2016-04-12_Nottingham/Expert_video/4,NoXI/053_2016-04-12_Nottingham/Novice_video/4
1153,NoXI/053_2016-04-12_Nottingham/Expert_video/5,NoXI/053_2016-04-12_Nottingham/Novice_video/5
1154,NoXI/053_2016-04-12_Nottingham/Expert_video/6,NoXI/053_2016-04-12_Nottingham/Novice_video/6
1155,NoXI/053_2016-04-12_Nottingham/Expert_video/7,NoXI/053_2016-04-12_Nottingham/Novice_video/7
1156,NoXI/053_2016-04-12_Nottingham/Expert_video/8,NoXI/053_2016-04-12_Nottingham/Novice_video/8
1157,NoXI/053_2016-04-12_Nottingham/Expert_video/9,NoXI/053_2016-04-12_Nottingham/Novice_video/9
1158,NoXI/053_2016-04-12_Nottingham/Expert_video/10,NoXI/053_2016-04-12_Nottingham/Novice_video/10
1159,NoXI/053_2016-04-12_Nottingham/Expert_video/11,NoXI/053_2016-04-12_Nottingham/Novice_video/11
1160,NoXI/053_2016-04-12_Nottingham/Expert_video/12,NoXI/053_2016-04-12_Nottingham/Novice_video/12
1161,NoXI/053_2016-04-12_Nottingham/Expert_video/13,NoXI/053_2016-04-12_Nottingham/Novice_video/13
1162,NoXI/053_2016-04-12_Nottingham/Expert_video/14,NoXI/053_2016-04-12_Nottingham/Novice_video/14
1163,NoXI/053_2016-04-12_Nottingham/Expert_video/15,NoXI/053_2016-04-12_Nottingham/Novice_video/15
1164,NoXI/053_2016-04-12_Nottingham/Expert_video/16,NoXI/053_2016-04-12_Nottingham/Novice_video/16
1165,NoXI/053_2016-04-12_Nottingham/Expert_video/17,NoXI/053_2016-04-12_Nottingham/Novice_video/17
1166,NoXI/053_2016-04-12_Nottingham/Expert_video/18,NoXI/053_2016-04-12_Nottingham/Novice_video/18
1167,NoXI/053_2016-04-12_Nottingham/Expert_video/19,NoXI/053_2016-04-12_Nottingham/Novice_video/19
1169,NoXI/052_2016-04-12_Nottingham/Expert_video/1,NoXI/052_2016-04-12_Nottingham/Novice_video/1
1170,NoXI/052_2016-04-12_Nottingham/Expert_video/2,NoXI/052_2016-04-12_Nottingham/Novice_video/2
1171,NoXI/052_2016-04-12_Nottingham/Expert_video/3,NoXI/052_2016-04-12_Nottingham/Novice_video/3
1172,NoXI/052_2016-04-12_Nottingham/Expert_video/4,NoXI/052_2016-04-12_Nottingham/Novice_video/4
1173,NoXI/052_2016-04-12_Nottingham/Expert_video/5,NoXI/052_2016-04-12_Nottingham/Novice_video/5
1174,NoXI/052_2016-04-12_Nottingham/Expert_video/6,NoXI/052_2016-04-12_Nottingham/Novice_video/6
1175,NoXI/052_2016-04-12_Nottingham/Expert_video/7,NoXI/052_2016-04-12_Nottingham/Novice_video/7
1176,NoXI/052_2016-04-12_Nottingham/Expert_video/8,NoXI/052_2016-04-12_Nottingham/Novice_video/8
1177,NoXI/052_2016-04-12_Nottingham/Expert_video/9,NoXI/052_2016-04-12_Nottingham/Novice_video/9
1178,NoXI/052_2016-04-12_Nottingham/Expert_video/10,NoXI/052_2016-04-12_Nottingham/Novice_video/10
1179,NoXI/052_2016-04-12_Nottingham/Expert_video/11,NoXI/052_2016-04-12_Nottingham/Novice_video/11
1180,NoXI/052_2016-04-12_Nottingham/Expert_video/12,NoXI/052_2016-04-12_Nottingham/Novice_video/12
1181,NoXI/052_2016-04-12_Nottingham/Expert_video/13,NoXI/052_2016-04-12_Nottingham/Novice_video/13
1182,NoXI/052_2016-04-12_Nottingham/Expert_video/14,NoXI/052_2016-04-12_Nottingham/Novice_video/14
1183,NoXI/052_2016-04-12_Nottingham/Expert_video/15,NoXI/052_2016-04-12_Nottingham/Novice_video/15
1184,NoXI/052_2016-04-12_Nottingham/Expert_video/16,NoXI/052_2016-04-12_Nottingham/Novice_video/16
1185,NoXI/052_2016-04-12_Nottingham/Expert_video/17,NoXI/052_2016-04-12_Nottingham/Novice_video/17
1186,NoXI/052_2016-04-12_Nottingham/Expert_video/18,NoXI/052_2016-04-12_Nottingham/Novice_video/18
1187,NoXI/052_2016-04-12_Nottingham/Expert_video/19,NoXI/052_2016-04-12_Nottingham/Novice_video/19
1188,NoXI/051_2016-04-12_Nottingham/Expert_video/1,NoXI/051_2016-04-12_Nottingham/Novice_video/1
1189,NoXI/051_2016-04-12_Nottingham/Expert_video/2,NoXI/051_2016-04-12_Nottingham/Novice_video/2
1190,NoXI/051_2016-04-12_Nottingham/Expert_video/3,NoXI/051_2016-04-12_Nottingham/Novice_video/3
1191,NoXI/051_2016-04-12_Nottingham/Expert_video/4,NoXI/051_2016-04-12_Nottingham/Novice_video/4
1192,NoXI/051_2016-04-12_Nottingham/Expert_video/5,NoXI/051_2016-04-12_Nottingham/Novice_video/5
1193,NoXI/051_2016-04-12_Nottingham/Expert_video/6,NoXI/051_2016-04-12_Nottingham/Novice_video/6
1194,NoXI/051_2016-04-12_Nottingham/Expert_video/7,NoXI/051_2016-04-12_Nottingham/Novice_video/7
1195,NoXI/051_2016-04-12_Nottingham/Expert_video/8,NoXI/051_2016-04-12_Nottingham/Novice_video/8
1196,NoXI/051_2016-04-12_Nottingham/Expert_video/9,NoXI/051_2016-04-12_Nottingham/Novice_video/9
1197,NoXI/051_2016-04-12_Nottingham/Expert_video/10,NoXI/051_2016-04-12_Nottingham/Novice_video/10
1198,NoXI/051_2016-04-12_Nottingham/Expert_video/11,NoXI/051_2016-04-12_Nottingham/Novice_video/11
1199,NoXI/051_2016-04-12_Nottingham/Expert_video/12,NoXI/051_2016-04-12_Nottingham/Novice_video/12
1200,NoXI/051_2016-04-12_Nottingham/Expert_video/13,NoXI/051_2016-04-12_Nottingham/Novice_video/13
1201,NoXI/051_2016-04-12_Nottingham/Expert_video/14,NoXI/051_2016-04-12_Nottingham/Novice_video/14
1202,NoXI/051_2016-04-12_Nottingham/Expert_video/15,NoXI/051_2016-04-12_Nottingham/Novice_video/15
1203,NoXI/051_2016-04-12_Nottingham/Expert_video/16,NoXI/051_2016-04-12_Nottingham/Novice_video/16
1204,NoXI/051_2016-04-12_Nottingham/Expert_video/17,NoXI/051_2016-04-12_Nottingham/Novice_video/17
1205,NoXI/051_2016-04-12_Nottingham/Expert_video/18,NoXI/051_2016-04-12_Nottingham/Novice_video/18
1206,NoXI/051_2016-04-12_Nottingham/Expert_video/19,NoXI/051_2016-04-12_Nottingham/Novice_video/19
1207,NoXI/051_2016-04-12_Nottingham/Expert_video/20,NoXI/051_2016-04-12_Nottingham/Novice_video/20
1208,NoXI/051_2016-04-12_Nottingham/Expert_video/21,NoXI/051_2016-04-12_Nottingham/Novice_video/21
1209,NoXI/051_2016-04-12_Nottingham/Expert_video/22,NoXI/051_2016-04-12_Nottingham/Novice_video/22
1210,NoXI/051_2016-04-12_Nottingham/Expert_video/23,NoXI/051_2016-04-12_Nottingham/Novice_video/23
1211,NoXI/051_2016-04-12_Nottingham/Expert_video/24,NoXI/051_2016-04-12_Nottingham/Novice_video/24
1212,NoXI/051_2016-04-12_Nottingham/Expert_video/25,NoXI/051_2016-04-12_Nottingham/Novice_video/25
1213,NoXI/051_2016-04-12_Nottingham/Expert_video/26,NoXI/051_2016-04-12_Nottingham/Novice_video/26
1214,NoXI/051_2016-04-12_Nottingham/Expert_video/27,NoXI/051_2016-04-12_Nottingham/Novice_video/27
1215,NoXI/051_2016-04-12_Nottingham/Expert_video/28,NoXI/051_2016-04-12_Nottingham/Novice_video/28
1216,NoXI/051_2016-04-12_Nottingham/Expert_video/29,NoXI/051_2016-04-12_Nottingham/Novice_video/29
1217,NoXI/051_2016-04-12_Nottingham/Expert_video/30,NoXI/051_2016-04-12_Nottingham/Novice_video/30
1218,NoXI/051_2016-04-12_Nottingham/Expert_video/31,NoXI/051_2016-04-12_Nottingham/Novice_video/31
1219,NoXI/051_2016-04-12_Nottingham/Expert_video/32,NoXI/051_2016-04-12_Nottingham/Novice_video/32
1220,NoXI/051_2016-04-12_Nottingham/Expert_video/33,NoXI/051_2016-04-12_Nottingham/Novice_video/33
1221,NoXI/051_2016-04-12_Nottingham/Expert_video/34,NoXI/051_2016-04-12_Nottingham/Novice_video/34
1222,NoXI/051_2016-04-12_Nottingham/Expert_video/35,NoXI/051_2016-04-12_Nottingham/Novice_video/35
1223,NoXI/050_2016-04-12_Nottingham/Expert_video/1,NoXI/050_2016-04-12_Nottingham/Novice_video/1
1224,NoXI/050_2016-04-12_Nottingham/Expert_video/2,NoXI/050_2016-04-12_Nottingham/Novice_video/2
1225,NoXI/050_2016-04-12_Nottingham/Expert_video/3,NoXI/050_2016-04-12_Nottingham/Novice_video/3
1226,NoXI/050_2016-04-12_Nottingham/Expert_video/4,NoXI/050_2016-04-12_Nottingham/Novice_video/4
1227,NoXI/050_2016-04-12_Nottingham/Expert_video/5,NoXI/050_2016-04-12_Nottingham/Novice_video/5
1228,NoXI/050_2016-04-12_Nottingham/Expert_video/6,NoXI/050_2016-04-12_Nottingham/Novice_video/6
1229,NoXI/050_2016-04-12_Nottingham/Expert_video/7,NoXI/050_2016-04-12_Nottingham/Novice_video/7
1230,NoXI/050_2016-04-12_Nottingham/Expert_video/8,NoXI/050_2016-04-12_Nottingham/Novice_video/8
1231,NoXI/050_2016-04-12_Nottingham/Expert_video/9,NoXI/050_2016-04-12_Nottingham/Novice_video/9
1232,NoXI/050_2016-04-12_Nottingham/Expert_video/10,NoXI/050_2016-04-12_Nottingham/Novice_video/10
1233,NoXI/050_2016-04-12_Nottingham/Expert_video/11,NoXI/050_2016-04-12_Nottingham/Novice_video/11
1234,NoXI/050_2016-04-12_Nottingham/Expert_video/12,NoXI/050_2016-04-12_Nottingham/Novice_video/12
1235,NoXI/050_2016-04-12_Nottingham/Expert_video/13,NoXI/050_2016-04-12_Nottingham/Novice_video/13
1236,NoXI/050_2016-04-12_Nottingham/Expert_video/14,NoXI/050_2016-04-12_Nottingham/Novice_video/14
1237,NoXI/050_2016-04-12_Nottingham/Expert_video/15,NoXI/050_2016-04-12_Nottingham/Novice_video/15
1238,NoXI/050_2016-04-12_Nottingham/Expert_video/16,NoXI/050_2016-04-12_Nottingham/Novice_video/16
1239,NoXI/050_2016-04-12_Nottingham/Expert_video/17,NoXI/050_2016-04-12_Nottingham/Novice_video/17
1240,NoXI/050_2016-04-12_Nottingham/Expert_video/18,NoXI/050_2016-04-12_Nottingham/Novice_video/18
1241,NoXI/050_2016-04-12_Nottingham/Expert_video/19,NoXI/050_2016-04-12_Nottingham/Novice_video/19
1242,NoXI/050_2016-04-12_Nottingham/Expert_video/20,NoXI/050_2016-04-12_Nottingham/Novice_video/20
1243,NoXI/050_2016-04-12_Nottingham/Expert_video/21,NoXI/050_2016-04-12_Nottingham/Novice_video/21
1244,NoXI/050_2016-04-12_Nottingham/Expert_video/22,NoXI/050_2016-04-12_Nottingham/Novice_video/22
1245,NoXI/050_2016-04-12_Nottingham/Expert_video/23,NoXI/050_2016-04-12_Nottingham/Novice_video/23
1246,NoXI/050_2016-04-12_Nottingham/Expert_video/24,NoXI/050_2016-04-12_Nottingham/Novice_video/24
1247,NoXI/050_2016-04-12_Nottingham/Expert_video/25,NoXI/050_2016-04-12_Nottingham/Novice_video/25
1248,NoXI/050_2016-04-12_Nottingham/Expert_video/26,NoXI/050_2016-04-12_Nottingham/Novice_video/26
1249,NoXI/050_2016-04-12_Nottingham/Expert_video/27,NoXI/050_2016-04-12_Nottingham/Novice_video/27
1250,NoXI/050_2016-04-12_Nottingham/Expert_video/28,NoXI/050_2016-04-12_Nottingham/Novice_video/28
1251,NoXI/050_2016-04-12_Nottingham/Expert_video/29,NoXI/050_2016-04-12_Nottingham/Novice_video/29
1252,NoXI/050_2016-04-12_Nottingham/Expert_video/30,NoXI/050_2016-04-12_Nottingham/Novice_video/30
1253,NoXI/050_2016-04-12_Nottingham/Expert_video/31,NoXI/050_2016-04-12_Nottingham/Novice_video/31
1254,NoXI/050_2016-04-12_Nottingham/Expert_video/32,NoXI/050_2016-04-12_Nottingham/Novice_video/32
1255,NoXI/050_2016-04-12_Nottingham/Expert_video/33,NoXI/050_2016-04-12_Nottingham/Novice_video/33
1256,NoXI/050_2016-04-12_Nottingham/Expert_video/34,NoXI/050_2016-04-12_Nottingham/Novice_video/34
1257,NoXI/050_2016-04-12_Nottingham/Expert_video/35,NoXI/050_2016-04-12_Nottingham/Novice_video/35
1258,NoXI/050_2016-04-12_Nottingham/Expert_video/36,NoXI/050_2016-04-12_Nottingham/Novice_video/36
1259,NoXI/050_2016-04-12_Nottingham/Expert_video/37,NoXI/050_2016-04-12_Nottingham/Novice_video/37
1260,NoXI/050_2016-04-12_Nottingham/Expert_video/38,NoXI/050_2016-04-12_Nottingham/Novice_video/38
1261,NoXI/050_2016-04-12_Nottingham/Expert_video/39,NoXI/050_2016-04-12_Nottingham/Novice_video/39
1262,NoXI/050_2016-04-12_Nottingham/Expert_video/40,NoXI/050_2016-04-12_Nottingham/Novice_video/40
1263,NoXI/050_2016-04-12_Nottingham/Expert_video/41,NoXI/050_2016-04-12_Nottingham/Novice_video/41
1264,NoXI/050_2016-04-12_Nottingham/Expert_video/42,NoXI/050_2016-04-12_Nottingham/Novice_video/42
1265,NoXI/050_2016-04-12_Nottingham/Expert_video/43,NoXI/050_2016-04-12_Nottingham/Novice_video/43
1266,NoXI/050_2016-04-12_Nottingham/Expert_video/44,NoXI/050_2016-04-12_Nottingham/Novice_video/44
